text,label
زباله وانحسبت مع الناس المسيحين تاج راسج و راس الخلفج يا عاااار . ضلي تلوكيلهن علمود جم فلس LINK,1
الحمدلله الذي بنعمته تتم الصالحات ٧/٧,0
ههههههههه ع سلامتهم السلطية :حلوين :),1
الطريقة الي طلع فيها كاسياس من الريال عار علينا والله,1
"CairoNewsPortal: ""شاهد ...آخر ما كتب الشهيد ""معاذ الكساسبة"""" مصر#أخبار",0
"_ واضح عليك تحبني من عييونك شفاف قلبك لو تكابر , حبيبي .",0
مفيش أسهل من إن واحده تضحك على راجل يادوب بس تلبسله ضيق شويه وهو هيريل عليها زي الكلب ويسيب لها نفسه,0
ناس بدور على لقمة العيش عند الاغنياء وناس بتسرق لقمة العيش عند الفقراء.,1
محتاج بسه بشكل بخوف .,0
الدنيا تحتاج قليل من الرضا وقليل من خفه الروح علشان تعيش سعيد طول الوقت,0
تحياتي و اشواقي لكل اربد من إشارة الحصن لشارع الهاشمي و من دوار العيادات للبلدية,1
اها في وقت كبير بيناتهم نيالك,0
مستر ترامب عن أي تزوير تتحدث ؟.. اتظن نفسك في دولة عربيه؟!,0
هذا واحنا في إربد نسمع أصوات الرعب، أجل المغلوبين على أمرهم، داخل سوريا، وش يسمعون؟ وأطفالهم، يا أطفالهم، على وش ينامون؟,1
يا روح امك انت,0
#عطنا_نصيحه_مفيده عجلوا بحفر قناة شرق سلوى. وخلوا خنازير قطر يغرقون كما غرق فرعون وجنوده,1
وصف الأمير الأفغاني المخضرم و الذي خبر السياسة الروسية عبد الرحمن خان ١٨٨٠_١٩٠١ بقوله(الدب الروسي يتقدم خطوات ثم يُلقي بكلكله و يثبت أقدامه و نفسه فيها، ثم ينطلق لنقطة أخرى و هكذا) هو هذا حال الاتفاقيات كلها معه و لكن جند الشام سينسفون سياسته كما نسفها من قبل الأفغان..,0
شعب جاهل يفهم ويعرف دينه شئ,1
يبدوا والله أعلم أن تصوير بعض الكتائب لبضع آليات و عدداً من المقاتلين و تهديد و وعيد، ماهو إلا دعماً للجانب التركي في مباحثاته مع الجانب الصهيوروسي والذي يبدأ بعد قليل في أنقرة.,0
اخخ بس الله يلعن كورونا بس 🥺,1
فكركم ساجدة اعدامها اشي كثير راح يأثر بداعش؟ خلوكم منطقيين مش عاطفيين,1
حيّاك الله قرابة .. تشرفنا و تنورنا بالسلط كل الوشاحات بالسلط,1
قريبا بالواتس: 🔴 بنات انتبهوا السيارات الجديدة فيها كاميرا بالطبلون .. الله يحرق اليهود ويحفظ بنات المسلمين,1
عاجل إدلب المدفعيه التركيه وطائرات SİHA التركيه تقصف بشده رتل النظام الذي تحرك نحو سراقب,0
وصلي لزنارو قبل ما تجعدني,1
ريال مدريد وشكلك مش غريب بنفس الوقت اليوم,0
تفو عليكي لانك وحدة صهيونية,1
"حيت تحترق انفاسي بداخلي من شوقي لك فقط انام ب امل ان اعانقك. "" ♡.",0
والله ما بتذكر بس اعرفه رح انتقم شر انتقام هههههههههه,1
ينجم اختلاط باليهود,1
حظك قليل مش مرغوبة كلك قرف,1
يوم الاتنين ده بيبقي صعب أوي عشان بيبقى أول الأسبوع,0
والله اكبر تعاسه للعالم هي المراءة,1
سرقوا الطياره يا دهمه. بيش بنا نطير نحوا العالميه,0
ابيش بحلاها ابيش ..زي السلط بتلاقيش,1
الشتاء أمسيات مُختلفة حَنين لأشخاص رحلوا عنا مراّقبة المطر أكواب قَهوة وذكرياّت اخرى لكلٍ منا حكاّيته مَع الشتاء,0
""""""" أفكلما اشتهيت اشتريت؟ فمتى تتعلم الصبر؟ أفكلما خلوت عصيت؟ فمتى تتعلم التقوى؟ أفكلما يُسر لك تماديت؟ فمتى تبدأ التوبة؟ أصعب الحرام: أوَّله، ثم يسهل، ثم يُستساغ، ثم يُؤْلف، ثم يحلو، ثم يُطبع على القلب، ثم يبحث القلب عن حرام اخر صلاة الفجر ، سارعوا إلى مغفرة من ربكم""",0
لا خوف ع جيش اول جنوده ملك.الله يقويك,0
لعنهم الله في الدنيا و الاخرة و نهايتهم قريبه انشاء الله بعد 2022 - 30=2=4,1
ده حتي الفلسطينين ابتدي يتطبق عليهم شغل الصهاينه ياساتر يارب,0
كسمك يا خليجي يا عرص وانت شبه البهايم اللي عندنا في البلد كده,0
مايا مثال للمراة المعقدة رجال تونس,1
""" وهي تدري أنَّني من دُونها لا أَقْطَعُ الشارعَ وحدي"" -نزار قباني .",1
سبحان اللهم وبحمدك تبارك اسمك وتعالى جدك ولااله غيرك...ربي اني اعوذ بك من الغم والهم..,0
لعن الله النفط ورجالته هم من جلبوا القلاقل لبلاد العرب أوطاني... نعزي شعب الكنانة بالمصاب الجلل ونرجو السلامه لشرفاء العرب,1
"""خمسون راميا على جبل كانوا سبب هزيمة المسلمين في غزوة أحد """"لم يلتزموا بمكانهم"""" التزم بمكانك تنصر نفسك واخوانك الاردن يستحق الافضل """,0
ما أجمل ليلة الجمعة وما اطيب صباحها وما الذ عصرها وما أحلی غروب شمسها ان عشقت في عمري يوماً فهو هذا اليوم المبارك,0
يلعن كسم وحاشة الحريم على كسم شخصياتهم مبقوش نافعين,0
كل سنة وانتم طيبين بمناسبة قدوم شهر رمضان,0
سلطان افهم يخي خلاص,1
بعد ماكو حكومة تصفي الأوضاع و غيرك يا بو صالح محد يحلها,0
انتي عم تدحشي حالك لتنضربي و ينحكى فيكي لانك غرتي من جويس بلا هالحركات بقى,1
اضرب والريح تصيح جنبلاط عثمان سعدو جعجع كلهم وصرمايتك سوا,1
خايفة أروح على المطبخ أشرب مي,1
بصير وزيرة و بشغلك معي,0
الكفاتسه ولاد الوسخه دول اللي فرقونا,0
سأطيرك .. حتى السقوط,1
الرجاله عايشين عشان ياكلوا ويشربوا ويشخوا ويناموا زيهم زي البهايم,0
نيكو الفيدو مفاجأة قائمة سويسرا لليورو :D,1
“ من رأى أنه مسيء فهو محسن، ومن رأى أنه محسن فهو مسيء.#أعجبتني”,1
الله على اخلاقك يا فخر القصمان,0
ثلج ضعيف ومعنداش شخصية..نستنو الثلج الجاي وخلاص,0
اكتشفت انو الطيبه ماتنفع هالايام مع الناس !!,0
اجيال قال علي العريان : خسارة فادحة يوقعها فايروس كورونا بخطف أحد علماء الكويت البروفيسور جعفر قاسم مساعد العميد للشؤون الأكاديمية بكلية العلوم الصحية في #التطبيقي .. نسأل الله أن يتغمده بواسع رحمته وأن يلهم ذويه الصبر والسلوان,0
""" تشيشاريتو : احب دائماً ان اشرك عائلتي في هذا النوع من المقابلات.""",0
قصيدة | يا ريتني طيار الآن متوفرة على اليوتيوب من كلمات والقاء حازم العساف,0
يا عالم هي مخططات خارجية بعمالة ايران حللنا نفهم,0
Looooool شنسوي بعد,1
يمني ومعه جنسية امريكية وينتقد السعودية والسعوديين نبي رابط بينهم مافيه لاهو الي ينتقد بلده الاصلي ولا الدولة الي يحمل جنسيتها ولا هو الي جالس عندنا وساكت مافيه بلد بالعالم تلقى الاجانب يسبون البلد الي يقيمون فيها الا عندنا,1
طيب أنسي العراق ولما معظم شباب بلدك ايدوك ووقفوا معاك واقتنعوا بفكرك ليه هربت يا خساره كنا حطين عليكم أمل كبير بس يا,0
human's of داعش بجوز اغبى اشي قراته باخر ٤ سنين هو هالبوست !,1
لا يمكنك ان تشفى بنفس البيئة التي جعلتك مريضاً ...,0
تدري لو انا رئيس وزراء ولله يل الاكراد اعدمكم نفر نفر وخلي واحد يحجي او يتنفس يا ارهابين خلي تركية تدمغ بيكم,1
حقيقي طفش مره ، الله يلعن كورونا بس(:,1
لان ما لاقو اوطى منك انت الاساس يا مدام,1
ايام فاتت و عشره هانت و ناس على اصلها بانت ;),0
يا جماعة الي طلب من شي ان فترة كورونا شكثر خذو على ما يابو طلبيتكم ؟,0
قالو الصين جواها ضحايا ⁦دي فيها فيرس كورونا قتال⁦ طب احنا عرفنا ليه نهايه ياموت ياعلاج يكون فعال لكن فيرسنا ف صحابنا مالوش علاج طبع الاندال🔥🔥,1
في سياره صغيره مع مصاري اصليه ذهب غير غير الصوره مليون والناس وبات موجودات الصوره قديش موجودات قديش مبينات موسم الرياض بيطلع 7مليار زي انا ما بعرف 7 مليار غير السيارات والبيوت ما عذاب طبعا غير اولاد سليم رضاها غير حسبنا مرتين وكسبنا الحلم مرتين صوره مصطفى الاغا والملايين,0
لا حول ولا قوة الا بالله ! يا خي انتم ما تفهمون !!!!! 😂😂😂😂😂 هي ترد على اللي يتدخل في شؤوننا منكم ! وين الحياد وكل يوم طالع لنا كلب ينبح ويتدخل في شؤوننا ويستشرف ! يتكلم عن اخبارنا هيئة الترفيه وعن مغنيه وغيرها !! ساره عطتكم خبر في قطر وقالت ننتظر تعليقاتكم ؟ ما غلطت,1
انا وللأسف حاليا اعاني من روتين شديد نتيجة للعطله الطويله الي عندي,1
فهمتش الدزيرية زبي مسيبين بلادهم المعاق بايل خوه سعيد جايين يحلوا فامهم التوانسة نحيو صبابط الجينيرالات ريوسكم توليو رجال أسيادكم التوانسة شعب الزوامل إجاو تكلموا الشعب التونسي شعب واعي متثقف الجرئة يحكي موضوع الإعلام جبناء تخافوا تخبيو حقيقة مجتمعاتكم المتخلفية القروسطية عبارة مجموعة قبائل لليوم مقسمين تسبوا الحيوانات لعنة أرخسكم سبيناكم ورانا الكلاب تفيييييييه الشخص الأول جاء زائر شفنا رهوط,1
""" ""الأكثر تداولاً: ولد يتيما، عاش عظيماً، مات كريماً"" ﷺ . """,0
اختي حكتلي لازم نكتب موضوع تعبير عن شخصية تاريخية كتبت عن ابو بكر الصديق كتبت انه مات في Kfc بدل KSA مع انه الاثنين غلط,0
أهلي ما بيجي عبالهم يعملوا اجتماعات عائلية غير بوقت الامتحانات,0
ردا على عرض ترمب شراء جزيرة قرينلاند الدانماركية: الدانمارك تعرض شراء امريكا كلها ، وتتعهد بإصلاح نظامها الصحي والتعليمي ، وفي حال الموافقة على البيع ، أكدّت الدانمارك أنها ستتخلص من ترمب عن طريق إرساله إلى روسيا أو كوريا الشمالية 😩,0
مَ اقول غير الله يلعن كورونا .,1
#نيزك_يدار_من_تركيا ياليت نشوف حسابات سعودية وتدار من بلدنا وتقدم مضمون مفيد ويخدم قضايانا ويحارب الفكر الليبرالي التغريبي المنحرف الذي يستهدف شباب وفتيات الوطن ..,1
صفارات الإنذار تدوي في سماء يالله يا حلوين انضبوا في بيوتكم وأي واحد بنشوف في الشارع راح ينضبوا في بيته,1
أيها الخنزير كيف تكذب ولاكن لأعجب فأنت خريج الحوزات القذره المليئه بلحقد والسفالة من ابتدأت ثورة الخميني المنحط دخلة علينانجاسة دواعش الشيعه twitter.com/alziadiq8/stat…,1
عفوا; ;; من هو نتنياهو هل رجل سﻻم; ؟؟؟ اصﻻ كبير اﻻرهاب,0
لو مش عارف احكي ما بعرف عادي بس حاول ما تطلع هليل اللي جواتك وتفتي,0
طرد الوصخ روي .. هذه طرد مباشر مفروض مو اصفر ثاني,0
خاطري نشوف مصري ميعكش في الدوة,1
الهنود وهما بيتكلموا انجليزي بيموتوني من الضحك الصراحه,0
اكتر حدا مشتاقتله بالحياة,0
يارب نفسي انام تلات ايام ورا بعض كده من غير ما حد يصحيني ولا يزعجني,0
اسبانيا منتخب بلا شخصية !!,0
سجاير وشيشة إيه اللي انت بتتكلم عليهم ده الحريم دلوقتي عدو المرحلة اللي بعدها وبقوا بيشربوا مخدرات وخمره هما دول البنات اللي احنا المفروض نعتمد عليهم قدام دول خيبيتهم تقيله,0
يللي وصوفك تعدى وصوف الملاك جيتك وحلي منهد وابي اكسب رضاك تقولي ما اقدر وتحسسني اني اشكك في غلاك لاحشى ما اشك فيك ولا في غلاك روح وعين الله,0
#بايع_الكليجا<LF>امس في سوق عكاظ تعرضت للتحرش من قبل مجموعة من الدشير حسبي الله ونعم الوكيل<LF>المشكله ماردعهم وجود الشرطه<LF>الله لايوفقهم😣<LF><LF>ليش دخلتم العزابيه علينا ياسوق عكاظ<LF>ليش تسمحون لهم يأذونا😔<LF><LF>هنا تعمدت ماوضح الصورة عشان مااشهر فيهم💩<LF>بس جد قهروني طول الوقت يلاحقوني<LF>حسبي الله URL,1
سكران جالس يأكل بطاطس نعمان !! طاحت واحدة من يدة قالها : تعالي .. وما جت قالها : تعالي .. وما جت قالها : انا اقول تعالي ..,1
في الظاهر بصير في تقصّي ودراسة أرقام عن الواقع ومدن أخرى، الخ. بس القرار في النهاية بعيد عن ذلك. في أمور ثانية بتطغى عالحقائق.,0
يا رب يقبلوني ب سلاح الجو شهر 9 موعدنا,1
في ناس للأسف اتولدوا في أفريقيا وبشرتهم سوده,0
""" مبروك للزعيم القدساوي مقدمـااا ""القادسيه زعيم الانديه وان شاء البطوله يارب",0
والله داعش بدهم يوقعوا البلد بفتنه .......,1
بلاش عمق كثير، لانهم هددوني يعملولي ميوت,0
كثر التغريد بعلم السرقة.,1
الفلسطز أنجس مخلوقات الأرض شعب غبي وحسود حقود وقلوب سوداء لا يثمر بها معروف ولا يردعها خلق ولا خالق شعوب لم تعرف الحب ولا العدل طوال تاريخها المليء بالخسة والغدر والخيانة شعوب لم تحب نفسها يومًا فضلاً عن حبها لغيرها ما يخرج من أفواههم أنجس مما يخرج من مؤخرة الخنزير أبادكم الله,1
الناس كصفحات كتاب تبقى بعض أوراقه متماسكة وبعضها يسقط !,1
لا هادي القناة بحسها بتاخدني لعالم اخر من الصدمة .. بخاف عحالي بس احط علبها,0
انشالله تكوني انتي لي سامعة فيا� بلكي بتنضبي شوي,1
اذا بدك تمشي ورا المود رح تنحرمي اخوي,0
حيوانات شعب تونسي يهودي صهيوني منافقين كلاب ضالة يخافون رب انزل غضبك يخشاك,1
عند الزوم ندوس على خشوم داعش ومن والاهم,1
انا رايح محل اكل سمك مع ان بطني بتوجعني,0
أكبر مشكلة في التواصل هي أننا لا نسمع لنفهم بل نسمع لنرد دون تفكير,0
فشرتي يا زغيري,1
بدك ترجعيلي كتابي. اللي اله سنة عندك وبتتجاهلي ما اختلفنا بس حبكت هلا؟!! صار حرام يمكن احتاجه؟!! هلا؟!!,0
خلص لازم الواحد يهاجر لبلاد الكفار,0
احد المتحدثين في اليوم الوظيفي الأخضر للتحدث في موضوع التسويق الأخضر,1
انا نفسي الائي مسلم واحد شكله عدل زي البني ادمين,0
هذاول الشوام كلهم عيال كلب ماينفع معهم اﻻ طريقة الدعس على الر قبه والوسط,1
يا حب كتير اشتقتلا دخلك بس تشوفا قلا برمت عليها الدنيي كلا وسالت عنها صحابا,0
كل شخص لة قصة يرويها بتغريدة,0
السعوديين اكتشفوا اخيرا انو المسيحيين واليهود مش كفار و طبعا طلعنا بس نحنا الشيعة كفار 😆😆😆😆😆😆😆😆😆 عندما تفكر الحمير 👇👇👇 LINK,1
يا رب احمي الأردن وشعبها وقائدها واجعل الأيام الجاي أحسن من اللي راحت وارحم الشهيد معاذ الكساسبة,0
انا دايما اتجاهل بس اوقات خلاص 😤😤😤توصل لفوق,0
ﻻ تدري لعل الله يحدث بعد ذلك أمرا,0
الاخبار نفس الاخبار مفيش جديد,0
قالو الصين جواها ضحايا دا فيها فيرس كورونا قتال طب احنا عرفنا لييه نهاية ياموت ياعلاج يكون فعال لكن فيرسنا في صحابنا ملوش علاج طبع الاندال 🎵🎶,1
اعزي بشرف ووقار بموت الرجال صفات رجال تشفي بميت و الدعاء الله يرحمه بقدر عمله ليس عزاء رجال,1
همه هذول بعرفوا العيب؟!,0
يا غاوي مشي الحريم مشي الحريم بطال بيعرفوك في الرخا وينسوك في يوم بطال,0
تسحب؟ اسحب ، تسوي فيها انا المزاجي؟ اصير لك انفصام شخصيا ، تجيني وقت ما تفضى؟ ارد عليك متى ما صار لي خلق ، وعلى جوك يالكشخه نعطيك :),1
نظفي سمعتك يا وصخة,1
وانا معك بس هسا بطلع واحد وبسوي مشكلة طويلة عريظة ع الفاضي,1
مهو الله كاتبلو يموت يا نيكولاس صحيح سياست المطعم و نعاملهم زفت معو بس الله كاتبلوا يموت هيك موته,1
بقولك ايه ياست انتي تلبسي النقاب وتقعدي ساكته اخرتك تقعدي في البيت محدش يشوفك تربي عيال,0
اوباما والمالكي ساهما في نمو داعش#..صح النوم#بدري##,1
بالنسبة للمبلات التوفير اللي بعد يومين بتنحرق ... الواحد مش عارف حالع عم بوفر أو لأ !,0
هناك من يظن انهم الوحيدين الذين يحبون الوطن وان البقيه طرش بحر او حضري هذا الكلام يجعلنا نعرف بأن العنصريه مثل الدم الذي يسري في عروقهم اعتقد كل من لديه الهويه السعوديه فهو مواطن وكل من ولد في هذا الوطن فهو ابن للوطن مادام يحترم نفسه والآخرين ويحترم الأنظمة والتعليمات اتقوا الله,0
ازعل ولا ما ازعل ؟ قاعد اشاور نفسي بجديه,0
محمد الخالدي شاب بعمر الثلاثينات و يتمتع بحنكت رجل بعمر السبعين صاحب كاريزما قوي,0
انت وشك اسود من قرن الخروب,0
وانت الشبيحة الواطية لازم يمنعوك تمشي عالطرقات.,1
تشوفون بكشخ انستقرامي واخليه احسن واحد بالدنيا,0
مو هاد يلي نسرق ، ما في اخبار عنو !,1
من اخذت 🐒 على ماله وجماله تاخذ جنسيتهم هي واولاده #تجنيس_الاجنبي_دمار_المجتمع,1
مره جبت ٢ من ١٠ في امتحان الرياضيات ومن خوف ردة فعل اهلي ضليت في المدرسه لل ٤ عصر وقعدت مع الحارس بشكيله بعدين اجى ابوي,0
"من ألوان الغباء عند بعض ما يسمى بالمحللين السياسيين: فخامة الرئيس #ترامب غاضب جداً من عبثيّة سيئ الصيت #أوباما . !!. ^^^^^ لم يتبقّى لهم سوى القول بأنّ ترامب من أهل السنة والجماعة ، وأنّ أصله يعود إلى هوازن !. ،،، "" الحمير في خطر بسبب حيونة بعض البشر "". #بزعانيات",1
. فيَ مسآئيَ ﺎعشقگ ﺎنتْ ؛ وٰ ﺎنتْ بَ ﺎلعشّق تگفينيَ الشوق♡ @ السلط,1
الشخص الذي يعترف بغلطه ثم يعتذر بشكر واضح وصريح تستطيع أن تعاشره طول العمر.,0
يقولون زَهَق وملل. والله يقول: ألا بذكر الله تطمئن القلوب. مساءكم ياسمين..,0
قسم بالله شكلو عاااادي جدداااااا <LF>مو لدرجة الوساامه<LF>ياخروفاااات🐑🐑<LF><LF>#بايع_الكليجا,1
سيكتب التاريخ عن تخاذلنا كعرب في نصرة إخواننا في غزة,0
مصر تتوحد لاسقاط الانقلاب....على الثوار في سوريا ان يتوحدوالاسقاط الطاغية,0
طيب فهمني يعني ايه الوحش نزل علي حد واختار مين جديد ده ايه كلام الكفر ده اهتدو شويه يا مسلمين,0
يجيلك يوم تندم ع ما سويت اهم شي نشوف فيديوهات من الخطيب والعمري والعقايله,0
طبطبة من الحبيب بكلمة بمثابة أمان بوقت خوف و فزع...,0
صحيفة السبيل/ خبراء إسرائيليون: المقاومة انتصرت لتفوقها بعنصري المبادرة والمباغتة - عبر نبض,0
محتاج بشده حد يفهمني,0
خبر اسود ومنيل عليك,0
تكذب نعرف تاريخها نعرف شنوۃ حكيتوا البرنامج مخيبها تكتشف حقيقتكم التسجيلات تهبط خلي يعرف الشعب,0
هذا ما يمشي معاي .. ييبولي قمة اڤرست last night w/ at amman …,0
الدنيا كلها جو امتحانات ومذاكره,0
اللهم امنت بك فوصلت بيتك وشربت من ماء احبائك,1
دين السلام ايه يا معرصين كل اللي بتعمله ان انتو تاتلوا اي حد مش نفس ديانتكو,0
نصف الثقة بالنفس : عدم المقارنة مع الآخرين ، ونصف الراحة : عدم التدخل في شؤونهم ، ونصف الحكمه : الصمت ️,0
الحمد لله ، معاليك كلنا لخمات إن جاز لي الجمع بهذه الصورة,0
"يا طويل الحزن ، ضيقك لا يطول كل زفرة ' آه ' منّك .. عن عمر ! كب حزنك داخل عروقي و قول : صدر ، مايوسع همومك مو صدر !""",0
RT #لدغة_قاتلة<LF>#نكد_عليهم_بفيديو😠<LF>الافلام المفبركة من قبل الغرب والارهابين وعربان الخليج ليقولوا الغوطة تباد على يد الجيش…,1
تويتاتي عم تنسرق ههههههه المشكلة مش هون.. المشكلة لما تكون تخريف من راسي وبتخصني أنا يعني ما بينفع تسرقها انت.. متل هاي مثلا عموما صحتين,0
المغرب العربي احسن يروحو اوربا نريد الشرق الاوسخ وعرب جرب ثقافة الجهل والعصور الوسطىاحنا متحرررين فكريا وعرقنا امازيغي عربي نشبههم,1
كسمك يا كويتي يا ابن اللبوه يا حقير,0
حرية الإسلام انتهى,1
هاي وانا بعز راحتي بالاردن ادخن باكيتين باليوم! الله يستر بقطر لما ارجع ما اشرب ديتول من القهر,1
المسيح الدجال ع الابواب يولاد الوسخة,1
البنات بتوع الجيل ده كلهم شراميط ومتربوش و مش هاممهم حد حتى اهلهم,0
عدم تشجيعي للميلان ! لا يعني كرهي لمشجعينها لا قدر الله,0
هههههه قبل شوي شفت صورة رجعتني لذكريات الفيس بوك قديمة بال٢٠١٠ و ٢٠١١ و ٢٠٠٩ ، مين كان بتصور هو و اصحابه و رجليهم جنب بعض او شكل نجمة ؟ او بصور التلفونات و هم جنب بعض؟ ولا لحالنا؟,0
RT #مش_هنشترى_المنتج_التركي<LF>#ماراح_نشتري_المنتج_التركي <LF>👞💂‍♀️👞<LF>#اردوغان_الثرثار <LF>#كذاب_مثل_اجدادك<LF>أوردا.. الجبان قاتل الأ…,1
اناتبهدلت منك النهارده حاجه تقرف,0
طلع الامتحان بكرا عال10 و انا مفكره عال4 !! هاو سويت,1
توافق على المشاركة في الحكومة الجديدة. خطوة غير متوقعة أم إصرار على البقاء في السلطة أم إقصاء لليسار ؟,0
هي بلد الفتنه والارهاب والخراب والدمار لعنها الله ولعن اعوانها ومرتزقتها اللهم امين ...,0
بنعرف القدر، واللي مكتوبله يموت بموت، واللي مكتوبله يعيش رح يعيش حتى لو كان عند داعش الكلاب ..,1
المشكلة البنات المجتمعات مصدقاااات أنه يفكر يأخذ وحده منهن <LF>من يفكر ببنت تروح تلاحق الرجال !!!!!<LF><LF>جيل ما تربى مع الآسف 🙈🙊😠 URL,1
لو يسويها موراتا غير نحتفل بهدفه اكثر من هدف غوتزة,1
مقتل باسل مفيد علان قتل في معارك إدلب القتيل من جبلة قرية غنيري,1
#بايع_الكليجا <LF><LF>البنات معد صار فيهم حياء قسم بالله😷,1
#سعوديه_الاصل_و_المنشا<LF>في استفهام بعقلي الحكومة ع ايش تعطي الممرضات السعوديات رواتب كل ما اجي الطواري فاردات مكاويهم ع الكراسي ويقلبوا بجوالاتهم والفلبينيات زي النحل يلفوا ع المرضى .ماتسمع ضحكهم الا اذا جاء خويهم وواوو الكيوت ويبدأو يتميلحوا ويضحكوا😷😝اتفوو,1
عن الي عندهم انتماآت سياسيه,1
انا لله وانا اليه راجعون لله ما أعطى وله ما أخذ وكل شي عنده بمقدار انتقل إلى رحمة الله ( حمود الشهاب ) من أبناء #الجالية_السورية_في_الكويت بسبب فيروس #كورونا نسأل الله ان يغفرله ويرحمه ويسكنه فسيح جناته وان يلهم أهله وذويه الصبر والسلوان LINK,0
#نوال_بري_فاسدة #الإعلام_الفاسد,1
أمرا,0
ما هي الرسالة التي توجه؟ سخافة متل سخافة,1
يلعن ابوك عيل ابن مره وسخه اهلك معرفوش يربوك,0
ابقر وحده بالكون بالدايت اللي اسمها ابرار، واللي عندي بالسناب يدري عن منو اتكلم افوكاتو بعينچ,0
وحدة معقدة وغبية وما عندك شي تشوفي حالك في إلا هالكم شعرة يللي على راسك متل الخنزيرة Miss Peguy موتي بقهرك,1
ارى ايضا ان يكون العبء الضريبي عادلاً بحيث يتم تحقيق النسب الضريبية على (الدخل الصافي) بعد احتساب كامل الاقتطاعات من قروض واقساط مدرسية والتزامات اخرى ؟,0
خلص ولوووو بتلعي النفس ولك ستي ما بتنق وبتحكي قدك متل نسوان الفرن العقاب لوهاب وهاب قاتل ابو دياب,1
ايه بعمل بالتكنو هاظ العرص فرجيه الكرت,1
الحج بو جاسم ربنا يخليه و يحفظو,0
سعودی زباله حیوان حمار,1
Linga - شيخ بحريني: نحتاج لتعاليم السيد المسيح في مجتمعاتنا، بعض علمائنا يفخخون عقول الشباب على المنابر:,0
معها حق شكلك وصوتك بيسدو النفس ما بلومها����,1
كل سعوب العالم تحلم بالمستقبل إلا الشعب السوري يحلم بالماضي,0
والله انه مشتاقلك كثير,0
احببناك محمد الانسان قبل محمد الفنان لك منا كل الاحترام والتقدير و442 شعار سيربطنا بك الى الابد,0
مش بركب معايا كفاتس أول ما تقلب للاسلام اللي هو الدين الصح هركبك,0
وموتي صنع حياة,0
الله يخرب بيتك والبيت اللي جنب بيتك,0
وقت الجد كلنا جيش,0
RT عيد ميلادي بقي و كده 😌 😌 <LF>و كبرت سنه 🙊🙈<LF>كل سنه و انتي طيبه يا أنا 🙉❤❤,0
الحكومة رفعت البنزين!! حدا حواليه حمار للبيع ؟,0
قال لن يسقط العهد مش الحكومة #ديما_الواطية,1
اللله يعينج *يشرب كلاس عصير,1
انت جايلك عين تتكلم يامعرص,0
